"","num.sets","prcc","t.value","p.value"
"beta",500,-0.0294423057090143,-0.657051372454715,0.511451415611913
"mu",500,-0.0532151169026968,-1.18760739864139,0.235554247687542
"delta",500,-0.0111990078373858,-0.249918901391018,0.802753124503579
"sigma",500,-0.471063257403018,-10.5171775809165,1.6945090486899e-23
"K",500,0.0438540217907177,0.978599470768102,0.328253064379829
"tau",500,-0.222115138044873,-4.95780748773789,9.79233465530025e-07
"k",500,0.123869416719208,2.76391539805149,0.00592283692222887
"s",500,-0.161298951909571,-3.60011636081108,0.000349926088144566
"phi",500,-0.0735259373547664,-1.64091958697076,0.101445490423365
