Virus,Bat Species,Positive,Negative,Tested,Pulses,Births,Fruit Bat
Reston ebolavirus,Cynopterus brachyotis,0,35,35,2,1,1
Reston ebolavirus,Cynopterus sphinx,2,0,2,2,1,1
Zaire ebolavirus,Eidolon helvum,1,261,262,1,0,1
Reston ebolavirus,Emballonura alecto,0,9,9,NA,NA,NA
Reston ebolavirus,Eonycteris spelaea,0,5,5,2,1,1
Zaire ebolavirus,Epomophorus gambianus,14,23,37,2,1,1
Zaire ebolavirus,Epomops buettikoferi,0,1,1,NA,NA,NA
Marburgvirus,Epomops franqueti,2,677,679,2,1,1
Zaire ebolavirus,Epomops franqueti,79,1495,1574,2,1,1
Reston ebolavirus,Haplonycteris fischeri,0,6,6,1,0,1
Reston ebolavirus,Hipposideros armiger,0,41,41,1,0,0
Marburgvirus,Hipposideros caffer,0,10,10,1,0,0
Reston ebolavirus,Hipposideros cineraceus,0,111,111,NA,NA,NA
Marburgvirus,Hipposideros commersoni,0,16,16,1,0,0
Reston ebolavirus,Hipposideros diadema,0,1,1,1,0,0
Reston ebolavirus,Hipposideros larvatus,0,21,21,1,0,0
Reston ebolavirus,Hipposideros pomona,3,34,37,1,0,0
Marburgvirus,Hypsignathus monstrosus,1,102,103,2,1,1
Zaire ebolavirus,Hypsignathus monstrosus,33,236,269,2,1,1
Marburgvirus,Lissonycteris angolensis,0,3,3,2,1,1
Reston ebolavirus,Macroglossus minimur,0,2,2,2,1,1
Zaire ebolavirus,Micropteropus pusillus,4,193,197,2,1,1
Reston ebolavirus,Miniopterus australis,0,8,8,1,0,0
Marburgvirus,Miniopterus inflatus,0,34,34,1,0,0
Reston ebolavirus,Miniopterus macrotarsus,0,1,1,NA,NA,NA
Marburgvirus,Miniopterus pusillus,1,176,177,NA,NA,NA
Reston ebolavirus,Miniopterus schreibersii,2,29,31,1,0,0
Reston ebolavirus,Miniopterus tristis,0,1,1,1,0,0
Zaire ebolavirus,Myonycteris torquata,33,1152,1185,2,1,1
Reston ebolavirus,Myotis chinensis,0,6,6,NA,NA,NA
Reston ebolavirus,Myotis daubentonii,0,24,24,1,0,0
Reston ebolavirus,Myotis davidii,0,5,5,1,0,0
Reston ebolavirus,Myotis fimbriatus,0,2,2,NA,NA,NA
Reston ebolavirus,Myotis pilosus,4,79,83,NA,NA,NA
Zaire ebolavirus,Nanonycteris veldkampii,1,3,4,6,1,1
Marburgvirus,Nycteris hispida,0,1,1,1,0,0
Reston ebolavirus,Pipistrellus javanicus,0,2,2,3,1,0
Reston ebolavirus,Pipistrellus pipistrellus,4,31,35,1,0,0
Reston ebolavirus,Ptenochirus jagori,0,38,38,2,1,1
Reston ebolavirus,Rhinolophus affinis,1,68,69,1,0,0
Reston ebolavirus,Rhinolophus arcuatus,0,1,1,1,0,0
Marburgvirus,Rhinolophus eloquens,20,189,209,NA,NA,NA
Reston ebolavirus,Rhinolophus ferrumequinum,0,15,15,1,0,0
Reston ebolavirus,Rhinolophus pearsonii,0,3,3,1,0,0
Reston ebolavirus,Rhinolophus pusillus,0,14,14,1,0,0
Reston ebolavirus,Rhinolophus rufus,0,2,2,1,0,0
Reston ebolavirus,Rhinolophus sinicus,0,6,6,1,0,0
Marburgvirus,Rousettus aegyptiacus,348,2643,2991,2,1,1
Zaire ebolavirus,Rousettus aegyptiacus,24,283,307,2,1,1
Reston ebolavirus,Rousettus amplexicaudatus,5,11,16,2,1,1
Reston ebolavirus,Rousettus leschenaultii,26,241,267,2,1,1
Zaire ebolavirus,Rousettus leschenaultii,15,126,141,2,1,1
Reston ebolavirus,Scotophilus kuhli,1,29,30,1,0,0
